类别：所有类别

周,crude oil: (全球)
2004-01-04,19
2004-01-11,31
2004-01-18,34
2004-01-25,31
2004-02-01,31
2004-02-08,36
2004-02-15,27
2004-02-22,27
2004-02-29,44
2004-03-07,37
2004-03-14,48
2004-03-21,26
2004-03-28,47
2004-04-04,28
2004-04-11,31
2004-04-18,40
2004-04-25,37
2004-05-02,33
2004-05-09,50
2004-05-16,68
2004-05-23,44
2004-05-30,72
2004-06-06,39
2004-06-13,41
2004-06-20,36
2004-06-27,28
2004-07-04,34
2004-07-11,30
2004-07-18,26
2004-07-25,34
2004-08-01,58
2004-08-08,46
2004-08-15,66
2004-08-22,72
2004-08-29,44
2004-09-05,44
2004-09-12,50
2004-09-19,31
2004-09-26,62
2004-10-03,51
2004-10-10,67
2004-10-17,50
2004-10-24,57
2004-10-31,59
2004-11-07,49
2004-11-14,51
2004-11-21,41
2004-11-28,52
2004-12-05,48
2004-12-12,44
2004-12-19,25
2004-12-26,19
2005-01-02,30
2005-01-09,38
2005-01-16,40
2005-01-23,28
2005-01-30,36
2005-02-06,38
2005-02-13,30
2005-02-20,51
2005-02-27,52
2005-03-06,67
2005-03-13,56
2005-03-20,54
2005-03-27,46
2005-04-03,52
2005-04-10,48
2005-04-17,47
2005-04-24,48
2005-05-01,52
2005-05-08,46
2005-05-15,44
2005-05-22,39
2005-05-29,41
2005-06-05,37
2005-06-12,42
2005-06-19,61
2005-06-26,62
2005-07-03,47
2005-07-10,48
2005-07-17,49
2005-07-24,48
2005-07-31,43
2005-08-07,65
2005-08-14,85
2005-08-21,53
2005-08-28,100
2005-09-04,74
2005-09-11,68
2005-09-18,71
2005-09-25,65
2005-10-02,60
2005-10-09,53
2005-10-16,52
2005-10-23,42
2005-10-30,54
2005-11-06,41
2005-11-13,53
2005-11-20,42
2005-11-27,47
2005-12-04,47
2005-12-11,41
2005-12-18,26
2005-12-25,35
