类别：所有类别

月份,crude oil: (全球)
2010-03,27
2010-04,28
2010-05,37
2010-06,32
2010-07,25
2010-08,24
2010-09,24
2010-10,24
2010-11,24
2010-12,23
2011-01,28
2011-02,43
2011-03,45
2011-04,36
2011-05,40
2011-06,31
2011-07,24
2011-08,36
2011-09,29
2011-10,26
2011-11,27
2011-12,21
2012-01,24
2012-02,28
2012-03,27
2012-04,24
2012-05,28
2012-06,30
2012-07,24
2012-08,23
2012-09,26
2012-10,26
2012-11,23
2012-12,19
2013-01,21
2013-02,21
2013-03,21
2013-04,23
2013-05,20
2013-06,19
2013-07,22
2013-08,19
2013-09,21
2013-10,19
2013-11,20
2013-12,16
2014-01,19
2014-02,20
2014-03,19
2014-04,19
2014-05,18
2014-06,19
2014-07,16
2014-08,17
2014-09,22
2014-10,36
2014-11,45
2014-12,81
2015-01,91
2015-02,86
2015-03,65
2015-04,54
2015-05,47
2015-06,38
2015-07,47
2015-08,66
2015-09,54
2015-10,47
2015-11,45
2015-12,62
2016-01,100
2016-02,92
2016-03,76
2016-04,66
