类别：所有类别

月份,crude oil: (全球)
2004-01,26
2004-02,27
2004-03,38
2004-04,29
2004-05,51
2004-06,38
2004-07,28
2004-08,58
2004-09,45
2004-10,55
2004-11,46
2004-12,37
2005-01,31
2005-02,39
2005-03,52
2005-04,47
2005-05,40
2005-06,47
2005-07,45
2005-08,68
2005-09,71
2005-10,48
2005-11,47
2005-12,34
2006-01,41
2006-02,42
2006-03,41
2006-04,54
2006-05,49
2006-06,36
2006-07,43
2006-08,42
2006-09,49
2006-10,45
2006-11,34
2006-12,27
2007-01,45
2007-02,33
2007-03,31
2007-04,30
2007-05,31
2007-06,25
2007-07,25
2007-08,25
2007-09,28
2007-10,36
2007-11,44
2007-12,28
2008-01,32
2008-02,31
2008-03,40
2008-04,43
2008-05,63
2008-06,78
2008-07,100
2008-08,88
2008-09,93
2008-10,98
2008-11,78
2008-12,79
2009-01,73
2009-02,54
2009-03,45
2009-04,36
2009-05,37
2009-06,38
2009-07,37
2009-08,30
2009-09,32
2009-10,32
2009-11,30
2009-12,25
2010-01,26
2010-02,27
2010-03,26
2010-04,27
2010-05,36
2010-06,31
2010-07,24
2010-08,23
2010-09,25
2010-10,24
2010-11,24
2010-12,23
2011-01,28
2011-02,42
2011-03,43
2011-04,34
2011-05,38
2011-06,31
2011-07,25
2011-08,36
2011-09,27
2011-10,26
2011-11,26
2011-12,21
2012-01,24
2012-02,27
2012-03,26
2012-04,23
2012-05,26
2012-06,29
2012-07,24
2012-08,22
2012-09,25
2012-10,25
2012-11,22
2012-12,18
2013-01,21
2013-02,22
2013-03,21
2013-04,23
2013-05,20
2013-06,19
2013-07,22
2013-08,19
2013-09,21
2013-10,19
2013-11,19
2013-12,16
2014-01,19
2014-02,19
2014-03,19
2014-04,18
2014-05,17
2014-06,19
